Node1, Node2, Distance
1177,2045,2682.747955401362
1017,237,2732.4062238564225
2196,2481,19398.640993798308
1483,352,5083.223521026131
1110,1795,9146.32013891484
916,2581,14173.75984840355
1770,1670,42059.14917853558
2213,1634,1085.689515446886
388,1347,2671.9636156972015
2226,1354,7555.063910816096
1870,469,973.3983311591222
508,2017,10168.932129432707
1271,839,2940.7757066991553
660,2393,10666.498878802857
537,2126,16682.748000239786
2120,1704,2890.065467138802
118,1948,6186.96210477444
949,445,7712.856767806195
1727,153,4900.584279828885
1651,516,7677.083638205446
1413,2557,1405.3562933527958
2555,2389,5419.667835426494
1123,280,10195.995815496108
1316,2580,1919.2054502557849
1670,2249,7665.624384792318
1875,2316,7747.20396785276
319,710,6458.9109390803915
2554,1675,18801.556879995507
2078,913,1917.9435894925198
1659,1725,27129.953657220132
1749,202,2430.893553872426
1990,1035,6112.863137845054
2167,2397,172861.36223848007
2563,2564,887.4606690363482
100,1019,2587.2683232398126
1888,2050,1464.4983091605955
777,2080,1214.5001562805285
668,364,2090.055199231182
780,1437,11570.405820427113
1172,2507,6922.161576455472
681,2285,3155.354559307345
1253,2122,4548.067903218193
1206,1556,705.938603985235
882,2223,1339.8073509431126
1455,2361,94441.58687533508
1067,1049,3758.0678825816626
916,717,28864.689409051858
436,2028,1254.9648575630679
156,1602,34674.116466704145
1535,1230,12652.041410629645
1345,1381,5986.031934234353
1224,2026,12478.730599092678
1621,648,50011.566572942334
1208,776,5916.071005371834
1450,1562,3176.635867848853
398,1195,8237.903167703418
2200,1960,5697.587669138495
1874,1656,7308.788812066653
1851,1295,1442.0835151823148
1547,2012,27531.266463973232
547,26,1377.7013730649057
1769,1487,807.9843804622354
2406,676,26461.84810680061
2011,415,3245.567968486205
1160,579,1466.8251981615417
1959,1394,1187.4888271456996
513,2354,5881.2835128794795
363,1320,10607.902893336253
1566,393,71115.68027173445
2300,301,3839.7109958951833
933,572,8525.730163064723
99,216,3505.3433193731616
2077,1860,3300.228481378839
552,1850,660.1012108921713
255,2569,1755.246768996997
1767,2266,3634.9736734978424
548,1743,7429.907487995713
513,756,2713.237822134346
1627,322,1931.1573551465665
1576,2105,961.7291981571298
104,2430,5561.8794235996875
1817,2134,1071.9885691542904
1118,2412,5914.36450342976
1122,2556,1386.6577445046776
1139,1074,19504.258678208076
1167,438,13243.368565225655
1993,2245,5506.46856651873
1728,1887,94664.80833487553
753,2268,1884.1611201962576
322,285,3433.554270202044
553,1254,14664.985916333337
583,1566,9882.274489614609
2121,1979,12269.510386683838
134,438,937.4840716887376
336,2177,1762.4076166974153
1264,466,1145.3557861413146
1718,139,34346.74980432135
1815,183,4244.090388977983
472,1637,1693.7769022261045
1362,624,9593.102535762075
676,1496,599.1761402224809
513,770,11235.93967377376
1039,304,3037.334860625729
1893,1084,7352.112044389474
1366,2579,2683.1622264607217
1726,768,1571.408765143974
2482,1649,20321.674976259415
2569,1828,3724.467758573424
233,886,58834.51818527876
1461,246,1823.94497398656
1874,1630,3175.256424393497
443,1519,988.0984958137433
323,2451,7816.870387221915
2334,222,2544.5882772069913
1729,0,12101.9884169801
978,2063,70431.2181788758
173,1451,29881.29014653174
1678,1124,6293.445755446835
1649,1934,28183.79629064008
1027,2141,4132.973651460366
173,1457,28583.91971235863
1889,180,1734.8091711949687
1982,961,1149.7212012613197
513,1909,9095.380191780856
1549,560,2000.8576425236265
59,2527,2978.128209352851
1342,152,1598.812959873812
669,591,2795.3022963059475
2516,1936,1791.561057688309
2338,330,9735.110728824597
2397,1159,9031.793968568478
