node1,node2,distance
1177,2045,2682.747975221718
1017,237,2732.4062447974984
2196,2481,19398.648487354043
1483,352,5083.223655857321
1110,1795,9146.320924354317
916,2581,14173.762771404641
1770,1670,42059.22555457359
2213,1634,1085.6895167604205
388,1347,2671.9636352801085
2226,1354,7555.0643534937635
1870,469,973.3983321062901
508,2017,10168.933208876033
1271,839,2940.77573280647
660,2393,10666.500124577182
537,2126,16682.75276648756
2120,1704,2890.065491918718
118,1948,6186.962347885582
949,445,7712.857238804426
1727,153,4900.584400642862
1651,516,7677.084102680168
1413,2557,1405.3562962021526
2555,2389,5419.667998841242
1123,280,10195.996903580597
1316,2580,1919.2054575128316
1670,2249,7665.624847190854
1875,2316,7747.204445171531
319,710,6458.9112156795445
2554,1675,18801.563702681986
2078,913,1917.9435967348702
1659,1725,27129.97415569686
1749,202,2430.893568617662
1990,1035,6112.863372325589
2167,2397,172866.66501484782
2563,2564,887.4606697536884
100,1019,2587.2683410177674
1888,2050,1464.4983123853006
777,2080,1214.5001581198212
668,364,2090.0552086030857
780,1437,11570.407410508391
1172,2507,6922.161916942399
681,2285,3155.3545915576174
1253,2122,4548.067999789088
1206,1556,705.9386043468527
882,2223,1339.8073534124535
1455,2361,94442.45159256419
1067,1049,3758.0679370655143
916,717,28864.714096444055
436,2028,1254.9648595923727
156,1602,34674.1592615243
1535,1230,12652.04348963481
1345,1381,5986.0321544208655
1224,2026,12478.732593827373
1621,648,50011.6949797158
1208,776,5916.0712179279035
1450,1562,3176.6359007553233
398,1195,8237.90374158656
2200,1960,5697.587859003656
1874,1656,7308.789212850125
1851,1295,1442.0835182608441
1547,2012,27531.28788562862
547,26,1377.701375749291
1769,1487,807.9843810037394
2406,676,26461.867127869133
2011,415,3245.568003581295
1160,579,1466.825201401112
1959,1394,1187.488828864924
513,2354,5881.28372170752
363,1320,10607.904118692451
1566,393,71116.0494836791
2300,301,3839.711054008154
933,572,8525.730799227757
99,216,3505.34336358894
2077,1860,3300.228518277346
552,1850,660.1012111873882
