Node1, Node2, Distance
5118,5092,2511.065045596687
3851,3492,5231.577245057052
4558,3252,4206.031048374708
5003,3332,1280.5743896538024
3703,2894,5497.224803412799
4090,4661,9107.261667796907
5140,4907,5970.446323319094
3718,3727,4394.005108675187
3091,4214,7677.083638205446
4024,3741,3052.3009051435074
4647,5030,1103.792776407784
3084,3085,1565.4207646733612
4257,3042,37177.82620377905
2812,4622,3833.1886963771976
2754,3315,3938.6621533330617
4872,5150,7347.678547783253
5053,3802,1574.8675190629713
4160,4529,14279.735250249632
3654,4535,6583.366547622058
4436,4437,1284.9147319513324
2648,2649,1260.6888730814205
3884,4774,2209.4109304834096
3946,4884,4149.057344826884
4470,4433,1164.535642669987
4589,4609,11209.178196342114
3009,3614,2385.1033381149855
3174,5108,1688.219222409151
4905,3855,13041.804523374265
4729,3696,6918.154742214146
4619,5037,1358.858626816252
3268,3261,5219.15540840191
3055,3286,28497.74736615047
3783,3675,6987.309861750923
3935,4160,84613.43989492017
3162,5035,1299.0183478624645
3496,4639,1917.9435894925198
4306,4026,2898.6240831686982
3280,3842,896.5494423892778
3138,3850,8659.699878159236
3810,5104,12650.0218407082
4884,3648,4692.297112550451
3186,2997,10509.282674211296
2937,4578,52644.85998199536
3035,3544,1283.984631614483
4369,3851,7390.224779596729
3803,3666,3017.360913462166
4885,3578,6312.416201361332
4359,3191,1559.5939348047723
3586,2784,21385.983559969114
2890,4131,1670.0111554033213
3877,2792,6584.032175048682
4297,4688,2890.065467138802
3912,4309,29027.700708685752
2711,2899,2001.49041718845
2768,3713,14746.198950137936
2982,3328,4632.189026976978
3106,5166,1445.9821645451873
4748,4599,2929.6925733422513
2926,3159,3915.311995669164
3636,4429,17171.93547267785
3817,3643,14827.964712344401
3710,2880,7507.701406050726
3553,3306,1519.0099325947215
4282,4139,25475.354668295902
4633,3745,7094.781423317999
3503,4526,14277.115755708828
3827,4629,9259.86319848964
4992,3943,8146.977441908563
2773,2794,8304.886284333936
2648,2650,529.9741110237795
2893,3740,34462.55097373896
4429,3629,17993.612666378045
